Sentence #,Word,POS,Tag
Sentence: 1,L-,DEF,O
,għan,NOUN,O
,prinċipali,ADJ,O
,ta',GEN,O
,Conectando,NOUN-PROP,B-ORG
,Mundos,NOUN-PROP,I-ORG
,(,X-PUN,O
,Malta,NOUN-PROP,B-LOC
,),X-PUN,O
,(,X-PUN,O
,CMM,X-ABV,B-ORG
,),X-PUN,O
,",",X-PUN,O
,programm,NOUN,O
,ta',GEN,O
,Edukazzjoni,NOUN,O
,b',PREP,O
,Riżq,NOUN,O
,Ċittadinanza,NOUN,O
,Globali,ADJ,O
,(,X-PUN,O
,Global,NOUN-PROP,B-ORG
,Citizenship,NOUN-PROP,I-ORG
,Education,NOUN-PROP,I-ORG
,Program,NOUN,I-ORG
,",",X-PUN,O
,jew,CONJ-CORD,O
,GCE,X-ABV,B-ORG
,),X-PUN,O
,imniedi,PART-PASS,O
,mill-,PREP-DEF,O
,Inizjamed,NOUN-PROP,B-ORG
,",",X-PUN,O
,huwa,PRON-PERS,O
,li,COMP,O
,jippromwovi,VERB,O
,l-,DEF,O
,GCE,X-ABV,B-MISC
,fl-,PREP-DEF,O
,istituzzjonijiet,NOUN,O
,edukattivi,ADJ,O
,Maltin,ADJ,B-MISC
,.,X-PUN,O
,0,0,O
Sentence: 2,Fl-,PREP-DEF,O
,aħħar,NOUN,O
,mill-,PREP-DEF,O
,aħħar,NOUN,O
,",",X-PUN,O
,l-,DEF,O
,għan,NOUN,O
,ta',GEN,O
,CMM,X-ABV,B-ORG
,huwa,PRON-PERS,O
,li,COMP,O
,joffri,VERB,O
,attivitajiet,NOUN,O
,",",X-PUN,O
,riżorsi,NOUN,O
,u,CONJ-CORD,O
,sapport,NOUN,O
,lill-,LIL-DEF,O
,istituzzjonijiet,NOUN,O
,edukattivi,ADJ,O
,biex,CONJ-SUB,O
,l-,DEF,O
,għalliema,NOUN,O
,jkunu,KIEN,O
,jistgħu,VERB,O
,jinkludu,VERB,O
,l-,DEF,O
,GCE,X-ABV,B-ORG
,fil-,PREP-DEF,O
,ħidma,NOUN,O
,tagħhom,GEN-PRON,O
,ta',GEN,O
,kuljum,ADV,O
,",",X-PUN,O
,minkejja,PREP,O
,li,COMP,O
,l-,DEF,O
,GCE,X-ABV,B-MISC
,għadu,VERB-PSEU,O
,ma,NEG,O
,ngħatax,VERB,O
,għarfien,NOUN,O
,fil-,PREP-DEF,O
,Kurrikulum,NOUN,B-MISC
,Minimu,NOUN,I-MISC
,Nazzjonali,ADJ,I-MISC
,.,X-PUN,O
,0,0,O
Sentence: 3,Għodda,NOUN,O
,importanti,ADJ,O
,għall-,PREP-DEF,O
,promozzjoni,NOUN,O
,tal-,GEN-DEF,O
,GCE,X-ABV,B-MISC
,hija,PRON-PERS,O
,l-,DEF,O
,Attiviatijiet,NOUN,B-MISC
,Online,NOUN-PROP,I-MISC
,li,COMP,O
,CMM,X-ABV,B-ORG
,tagħmel,VERB,O
,kull,QUAN,O
,sena,NOUN,O
,f',PREP,O
,Marzu,NOUN-PROP,O
,.,X-PUN,O
,0,0,O
Sentence: 4,Dawn,PRON-DEM,O
,l-,DEF,O
,attivitajiet,NOUN,O
,jiffukaw,VERB,O
,fuq,PREP,O
,suġġett,NOUN,O
,speċifiku,ADJ,O
,",",X-PUN,O
,huma,PRON-PERS,O
,żviluppati,PART-PASS,O
,b',PREP,O
,mod,NOUN,O
,adattat,PART-PASS,O
,għal,PREP,O
,età,NOUN,O
,partikolari,ADJ,O
,",",X-PUN,O
,u,CONJ-CORD,O
,jistgħu,VERB,O
,isiru,VERB,O
,fi,PREP,O
,żmien,NOUN,O
