id,tokens,ner_tags
 0,"['De', 'tekst', 'van', 'het', 'arrest', 'is', 'nog', 'niet', 'schriftelijk', 'beschikbaar', 'maar', 'het', 'bericht', 'werd', 'alvast', 'bekendgemaakt', 'door', 'een', 'communicatiebureau', 'dat', 'Floralux', 'inhuurde', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]"
 1,"['In', ""'81"", 'regulariseert', 'de', 'toenmalige', 'Vlaamse', 'regering', 'de', 'toestand', 'met', 'een', 'BPA', 'dat', 'het', 'bedrijf', 'op', 'eigen', 'kosten', 'heeft', 'laten', 'opstellen', '.']","[0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 2,"['Vandaag', 'is', 'Floralux', 'dus', 'met', 'alle', 'vergunningen', 'in', 'orde', ',', 'maar', 'het', 'BPA', 'waarmee', 'die', 'konden', 'verkregen', 'worden', ',', 'was', 'omstreden', 'omdat', 'zaakvoerster', 'Christiane', 'Vandenbussche', 'haar', 'schepenambt', 'van', '...']","[0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 0]"
 3,"['In', 'eerste', 'aanleg', 'werd', 'Vandenbussche', 'begin', 'de', 'jaren', ""'90"", 'veroordeeld', 'wegens', 'belangenvermenging', 'maar', 'later', 'vrijgesproken', 'door', 'het', 'hof', 'van', 'beroep', 'in', 'Gent', '.']","[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
 4,"['SP', 'zit', 'moeilijk', '--', '(', 'Eric', ',', 'sd', ')', 'Derycke', 'wil', 'BPA', 'goedkeuren', 'op', 'voorwaarde', 'dat', 'BPA', ""'"", 'De', 'Hoogte', ""'"", 'beperkt', 'wordt', 'aanvaard', '(', 'burgemeester', 'van', 'Moorslede', 'Walter', 'Ghekiere', 'zal', ""'n"", 'voorstel', 'doen', ')', '.']","[5, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 6, 0, 0, 0, 0, 6, 0, 6, 7, 0, 0, 0, 0, 0, 0, 0, 3, 2, 4, 0, 0, 0, 0, 0, 0]"
 5,"['Sybille', 'Decoo']","[2, 4]"
 6,"['Ruimtelijke', 'Ordening', 'zou', 'hebben', 'misbruikt', 'om', 'het', 'BPA', 'te', 'verkrijgen', '.']","[5, 1, 0, 0, 0, 0, 0, 6, 0, 0, 0]"
 7,"['Het', 'enige', 'bewijs', 'dat', 'overbleef', 'om', 'Vandenbussche', 'te', 'veroordelen', 'voor', ""'"", 'belangenneming', ""'"", 'was', 'haar', 'aanwezigheid', 'op', 'het', 'schepencollege', 'toen', 'het', 'dossier-Floralux', 'aan', 'bod', 'kwam', '.']","[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0]"
 8,"['Eind', ""'98"", 'maakt', 'de', 'Vlaamse', 'regering', 'deze', 'regularisatie', 'definitief', 'met', 'een', 'gewestplanwijziging', '.']","[0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0]"
 9,"['De', 'Morgen']","[5, 1]"
