id,tokens,ner_tags
 1,"['kuntenta', 'li', 'erġajt', 'fuq', 'l-', 'art', ',', 'imma', 'diġà', 'għandi', 'nostalġija', 'għal', 'dawk', 'il-', 'kwiekeb', 'sbieħ', '.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
 2,"['grazzi', ',', 'estelle', '.']","[5, 5, 8, 5]"
 3,"['fis-', 'snien', 'ħamsin', 'kien', 'jikteb', 'l-', 'iżjed', 'għar-', 'radju', ',', 'waqt', 'li', 'fis-', 'snin', 'sittin', 'raw', 'l', 'ebejer', ',', 'issa', 'iżjed', 'matur', ',', 'jikteb', 'ix-', 'xogħlijiet', 'teatrali', 'importanti', 'tiegħu', '.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 8, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
 4,"['it-', 'tliet', 'opri', 'kbar', 'tiegħu', 'vaganzi', 'tas-', 'sajf', '(', '1962', ')', ',', 'boulevard', '(', '1964', ')', ',', 'u', 'menz', '(', '1967', ')', 'għamlu', 'suċċess', 'kbir', 'u', 'taw', 'l-', 'letteratura', 'maltija', 'l-', 'ewwel', 'drammi', 'intelletwali', '.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5]"
 5,"[""f'"", 'novembru', 'li', 'għadda', 'huwa', 'daqq', 'għall-', 'princep', 'edward', ""ta'"", 'l-', 'ingilterra', 'fil-', 'world', 'fellows', 'dinner', 'li', 'saret', 'malta', '.']","[5, 5, 5, 5, 5, 5, 5, 8, 3, 5, 5, 1, 5, 2, 6, 6, 5, 5, 1, 5]"
 6,"[""f'"", 'jannar', 'li', 'ġej', ',', 'ian', 'peter', 'se', 'jieħu', 'sehem', 'fil-', 'valletta', 'international', 'baroque', 'festival', '.']","[5, 5, 5, 5, 5, 8, 3, 5, 5, 5, 5, 0, 7, 7, 7, 5]"
 7,"['fil-', 'filmat', 'niltaqgħu', 'mal-', 'attur', 'skoċċiż', 'sylvester', 'mccoy', '–', 'wieħed', 'mid-', 'doctor', 'whos', 'tas-', 'serje', 'televiżiva', 'doctor', 'who', 'u', 'riċentament', 'wizard', 'radagast', ""f'"", 'the', 'hobbit', 'fost', 'lista', 'twila', ""ta'"", 'films', 'u', 'partijiet', 'oħra', '.']","[5, 5, 5, 5, 5, 5, 8, 3, 5, 5, 5, 5, 5, 5, 5, 5, 2, 6, 5, 5, 8, 3, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
 8,"['l-', 'invertista', ""ta'"", 'matthew', 'mamo', 'fil-', 'filmat', '.']","[5, 5, 5, 8, 3, 5, 5, 5]"
 9,"['operaturi', 'li', 'huma', 'meqjusa', 'bħala', 'persuni', 'relatati', 'kif', 'definit', 'mill-', 'artikolu', '143', 'tar-', 'regolament', '(', 'kee', ')', 'nru', '2454', '/', '93', 'jistgħu', 'jissottomettu', 'biss', 'applikazzjoni', 'għall-', 'liċenza', 'waħda', 'għall-', 'porzjoni', 'tal-', 'kwota', 'mwarrba', 'għal', 'importaturi', 'mhux', 'tradizzjonali', 'rigward', 'il-', 'merkanzija', 'deskritta', 'fl-', 'applikazzjoni', '.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
 10,"['(', 'ċ', ')', 'dawk', 'il-', 'proporzjonijiet', 'tal-', 'kwantitajiet', 'riservati', 'għal', 'importaturi', 'mhux', 'tradizzjonali', 'u', 'mhux', 'allokati', 'se', 'jiżdiedu', 'mal-', 'kwantitajiet', 'riservati', 'għal', 'importaturi', 'tradizzjonali', '.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
